trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-155.68973723263642,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-122.97678988033796,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-101.13424687864052,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-15.714330618270989,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,13,-13.61386250028324,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-155.01058068234522,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-73.99580245087238,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-71.36523125028582,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-31.692297178682143,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-190.4243776773109,"{0: 20, 1: 0, 2: 4, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-8.889610270481501,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,15,6.643959050412402,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-4.279361574655884,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-16.513774232626435,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,18.507675613689532,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-85.36068473529984,"{0: 25, 1: 1, 2: 0, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-23.96366870086578,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,21.819537197572053,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,10,32.828529900294384,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,14,33.42234179429225,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,11.54199686259571,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,34.41713153258391,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,7,4.40326519494489,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,26.042789664031872,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,2.7659765161228402,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,-0.4405308616912933,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,17.417336880726587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,16.59642784202361,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,1,11.930678873430741,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,-45.6040644799584,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
