trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",20,0,-64.83319810895036,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9801}",25,0,-105.7510286474585,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9702989999999999}",20,0,-74.82865561425535,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.96059601}",30,17,-37.8443571459511,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.2, 'e': 0.9509900498999999}",25,0,-162.6791473478921,"{0: 10, 1: 7, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.9414801494009999}",35,25,0.4695346860855527,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.9320653479069899}",20,0,-62.781398122418395,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.92274469442792}",20,0,-93.58878625837835,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9135172474836407}",20,0,-150.31221014477703,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9043820750088043}",35,0,-246.75438410915928,"{0: 19, 1: 3, 2: 7, 3: 3, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.8953382542587163}",25,0,-107.95828934411634,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161291}",30,15,-3.1358781182910573,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.8775210229989678}",30,0,-157.0576612914396,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.8687458127689781}",20,0,-114.77237766215202,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
