trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.988565872247913}",25,0,-160.7587379114216,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9772624837732771}",20,0,-64.01586422885096,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9660883396864915}",20,0,-130.08852569734373,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9550419621907147}",30,0,-149.33200266343002,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9441218903864221}",30,0,-205.3438839899479,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.933326680078202}",20,0,-79.23713328141619,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9226549035837566}",25,0,-84.89230053006047,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9121051495450904}",25,0,-169.13534002589535,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9016760227418554}",25,0,-117.06025022112408,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8913661439068313}",20,0,-79.76270263761488,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8811741495435155}",20,0,-112.1796854244732,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8710986917457983}",20,0,-82.70276689498496,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.861138438019701}",25,0,-72.50878376436994,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8512920711071511}",20,0,-104.01091435092842,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8415582888117733}",25,0,-111.58603620671556,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8319358038266718}",25,0,-117.31745036310609,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8224233435641823}",20,0,-151.96115703630724,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.813019649987571}",25,0,-79.6111437993862,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.803723479444656}",20,0,-202.96377271835607,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-132.40216132760847,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-97.13091846392744,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-116.04332275045871,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-92.78046983515186,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-134.32130996622388,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-124.73888483945039,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-44.40525909788133,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-130.76847203444342,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-89.3021005840885,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-158.29918210485127,"{0: 14, 1: 4, 2: 11, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,19,1.3905793738178758,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
